Day,Open,High,Low,Close,AdjClose,Volume,Year
500,512.25,516.75,510.75,511,511,2834,2025.364384
499,502,502,502,502,502,3,2025.361644
498,498.25,498.25,498.25,498.25,498.25,3,2025.358904
495,506.5,506.5,506.5,506.5,506.5,30,2025.350685
494,517.75,519.5,513.75,513.75,513.75,10,2025.347945
493,517.5,517.5,517.5,517.5,517.5,,2025.345205
492,524.75,524.75,524.75,524.75,524.75,,2025.342466
491,528,528,520,520,520,15,2025.339726
488,525.75,528.5,525.25,528.5,528.5,33,2025.331507
487,517.5,521.75,513,516,516,438,2025.328767
486,513.75,521.25,513.75,514.25,514.25,502,2025.326027
485,524.75,528.5,514,515.25,515.25,5571,2025.323288
484,532.75,535,520.75,524.75,524.75,14035,2025.320548
481,538.5,544,536.25,538,538,13607,2025.312329
480,542.75,542.75,531,537.75,537.75,16055,2025.309589
479,546.25,547,537,537.75,537.75,14679,2025.306849
478,552.75,555.25,545.25,546,546,15388,2025.30411
477,554.75,562,549.75,550.75,550.75,13164,2025.30137
473,560,569.25,555.75,557.5,557.5,15511,2025.290411
472,553,562.5,548,558,558,24508,2025.287671
471,556,557.25,548.25,553,553,26653,2025.284932
470,567.5,567.5,552.25,555.25,555.25,39580,2025.282192
467,558,575,555.5,568,568,49204,2025.273973
466,568,577.25,555.25,558,558,60683,2025.271233
465,561.75,572.75,560.5,568,568,49563,2025.268493
464,559,567.75,552.75,561.5,561.5,49030,2025.265753
463,557.25,572.75,553.75,559.25,559.25,59865,2025.263014
460,570,574,550.25,557.5,557.5,52018,2025.254795
459,558,572.25,554.75,569,569,32330,2025.252055
458,565,572.75,560.75,568.5,568.5,32614,2025.249315
457,558.75,565.75,550.25,565.25,565.25,36251,2025.246575
456,551,563.25,545.75,557,557,51640,2025.243836
453,567,568.5,543.75,551.75,551.75,41794,2025.235616
452,566.25,570.25,560,566.25,566.25,37359,2025.232877
451,570,572.75,563.25,565,565,40096,2025.230137
450,576.25,577,567,569.25,569.25,29932,2025.227397
449,590.5,595.25,575,578,578,27533,2025.224658
446,587.25,596.25,581.75,588.75,588.75,23230,2025.216438
445,597.5,598.25,583,586.5,586.5,30595,2025.213699
444,605.5,605.5,591.75,594.75,594.75,40271,2025.210959
443,605,617,604,606.25,606.25,39557,2025.208219
442,592,609,591,605.5,605.5,35204,2025.205479
439,573.5,573.5,573.5,573.5,573.5,26435,2025.19726
438,575,575,575,575,575,11,2025.194521
437,561.75,561.75,561.75,561.75,561.75,2,2025.191781
436,558.75,558.75,558.75,558.75,558.75,29,2025.189041
435,565.75,565.75,565.75,565.75,565.75,3,2025.186301
432,546.25,551.25,546.25,551.25,551.25,21,2025.178082
431,551.5,551.5,551.5,551.5,551.5,47,2025.175342
430,542.25,542.25,542.25,542.25,542.25,30,2025.172603
429,544.75,544.75,533.75,534,534,106,2025.169863
428,565,567.75,547.5,547.5,547.5,307,2025.167123
425,570.25,576.25,558,558.25,558.25,485,2025.158904
424,582.5,590.5,566.25,571.25,571.25,7746,2025.156164
423,591.75,596,581.25,585,585,10994,2025.153425
422,597.75,600.75,585.25,591.75,591.75,12812,2025.150685
421,609,611,592.5,596.5,596.5,18355,2025.147945
418,608,614.5,606.75,609.25,609.25,19501,2025.139726
417,614.75,621,605.5,607.5,607.5,16976,2025.136986
416,625,630.5,611.25,613.75,613.75,27113,2025.134247
415,619,630,614,627.25,627.25,39179,2025.131507
411,598,623.75,597.75,621.25,621.25,42058,2025.120548
410,591,602.25,587.75,598.25,598.25,48541,2025.117808
409,592,600.25,589.25,591.5,591.5,46417,2025.115068
408,596.75,602.25,591.5,592.75,592.75,44969,2025.112329
407,603.75,606.5,596,596.75,596.75,48715,2025.109589
404,606,614.75,601.25,604.25,604.25,54532,2025.10137
403,591,608,586.75,607.5,607.5,57439,2025.09863
402,591,603.25,588.75,591.75,591.75,46531,2025.09589
401,583,597,576,594.75,594.75,40666,2025.093151
400,573,590.75,571.75,585.75,585.75,44769,2025.090411
397,588,588,570.75,579.25,579.25,37946,2025.082192
396,579,590.75,576,588.25,588.25,45596,2025.079452
395,561,582,560.75,580.25,580.25,41565,2025.076712
394,553.25,564,550.75,561,561,31027,2025.073973
393,558.5,559.25,549.25,553.25,553.25,24486,2025.071233
390,567.25,571,556,559.5,559.5,32655,2025.063014
389,573,576.5,567,570.75,570.75,23669,2025.060274
388,573.5,586,571.25,574.75,574.75,40737,2025.057534
387,549.75,576.5,549.75,575.5,575.5,58916,2025.054795
383,549,553.25,545.5,548.5,548.5,24146,2025.043836
382,557.25,559.75,546.75,548.25,548.25,23044,2025.041096
381,560,563,554,557.5,557.5,30801,2025.038356
380,561,568.5,557.25,560.75,560.75,35094,2025.035616
379,551.5,562.25,548.5,561,561,35894,2025.032877
376,549,557,543.75,551.75,551.75,40058,2025.024658
375,549.75,553.75,544.75,550.25,550.25,23525,2025.021918
374,555.75,557.5,548.25,550.25,550.25,26870,2025.019178
373,552.75,559.5,549.25,555.75,555.75,32409,2025.016438
372,540,555.5,538.75,553.25,553.25,28365,2025.013699
369,552.25,552.75,537.75,539,539,25341,2025.005479
368,559.75,559.75,550.5,551.75,551.75,24588,2025.00274
366,555,561.5,554.5,559.25,559.25,16110,2024.997268
365,555,563.25,551.75,555.75,555.75,17571,2024.994536
362,551.5,556.5,545.75,554.5,554.5,13703,2024.986339
361,544.25,554.5,544.25,551.5,551.5,9931,2024.983607
359,550.5,552.5,543.25,543.75,543.75,7852,2024.978142
358,544.5,554.75,544,551,551,17624,2024.97541
355,543.5,549.25,541,544.75,544.75,18761,2024.967213
354,549.25,549.5,541,543.25,543.25,25241,2024.964481
353,552,561.5,547.25,548.75,548.75,20542,2024.961749
352,560.25,561.25,551,552.5,552.5,30162,2024.959016
351,557.25,566,556,559.25,559.25,28439,2024.956284
348,538.75,538.75,538.75,538.75,538.75,22462,2024.948087
347,546.25,546.25,546.25,546.25,546.25,26,2024.945355
346,559,559.5,550.75,550.75,550.75,45,2024.942623
345,553,555.75,549.25,549.25,549.25,7,2024.939891
344,541.75,542.25,541.75,542.25,542.25,17,2024.937158
341,535,539,533,537.25,537.25,31,2024.928962
340,531.5,539,531.5,536,536,119,2024.92623
339,521,528,521,527.75,527.75,41,2024.923497
338,525.75,525.75,524.75,524.75,524.75,83,2024.920765
337,522.25,526.25,519.75,523.75,523.75,53,2024.918033
334,525,527.5,520.75,520.75,520.75,177,2024.909836
332,549.25,553.5,525.75,526.25,526.25,5637,2024.904372
331,546.75,556.5,545,550.5,550.5,12941,2024.901639
330,554,556,542.25,546.5,546.5,14348,2024.898907
327,555.5,558.5,550.75,554.25,554.25,18082,2024.89071
326,561.75,566.25,554.25,555.5,555.5,13117,2024.887978
325,558,566.25,553.5,561.75,561.75,20090,2024.885246
324,555,564.5,552.25,558.25,558.25,30456,2024.882514
323,543.75,556.75,541.5,555.25,555.25,33187,2024.879781
320,533.25,544.5,532.25,540,540,31634,2024.871585
319,540.25,543.75,531.5,533,533,38194,2024.868852
318,548.25,549,536.25,540.75,540.75,51669,2024.86612
317,559.5,561,544.25,546.5,546.5,45313,2024.863388
316,564.25,564.25,547.25,559.5,559.5,46633,2024.860656
313,569.75,573.25,560,564.25,564.25,61358,2024.852459
312,574,577.5,563.5,569,569,41835,2024.849727
311,575.5,578.25,565.25,574,574,28432,2024.846995
310,571,579.75,569,576.75,576.75,30984,2024.844262
309,566.75,573.75,561.75,571,571,26279,2024.84153
306,570,575.25,563,566.75,566.75,21471,2024.833333
305,574.75,575.5,563.75,569.25,569.25,25358,2024.830601
304,574,583,565.75,575.75,575.75,25672,2024.827869
303,561.75,577.75,561.5,574.25,574.25,27623,2024.825137
302,570,574.25,560.5,561.5,561.5,29560,2024.822404
299,587.75,593.25,570.25,572,572,31393,2024.814208
298,585.25,589.75,579.5,587,587,20799,2024.811475
297,586.5,591,577.25,585.5,585.5,20144,2024.808743
296,583.5,589.75,577.25,586.5,586.5,25619,2024.806011
295,582.25,592,580.75,582.25,582.25,23149,2024.803279
292,596,603,580,580.75,580.75,31343,2024.795082
291,589,597.75,582.25,596,596,29909,2024.79235
290,584.75,591,579.25,588.75,588.75,21489,2024.789617
289,590.25,591.5,581.5,583,583,26910,2024.786885
288,605,605,589,590,590,24627,2024.784153
285,611,615.75,599,604.5,604.5,25890,2024.775956
284,608.5,619,608,611,611,35647,2024.773224
283,601.75,614.5,601.75,608.75,608.75,20736,2024.770492
282,603,609.25,598.25,603.75,603.75,25832,2024.76776
281,600,606.25,592,603.25,603.25,25183,2024.765027
278,611,611,595,598,598,32943,2024.756831
277,618,623.5,610,611.5,611.5,45495,2024.754098
276,598,622.5,595.25,619.25,619.25,58093,2024.751366
275,582.5,603,578,598.25,598.25,41287,2024.748634
274,576.5,589.5,571.25,583.75,583.75,28285,2024.745902
271,578,578.75,570.75,576.75,576.75,20469,2024.737705
270,581.25,590.75,576.75,579,579,29623,2024.734973
269,571,582.75,566,581,581,27386,2024.73224
268,576.75,584.5,568.75,571,571,27481,2024.729508
267,565.5,581.75,565.25,577.25,577.25,27448,2024.726776
264,564.75,574,561.25,564,564,27511,2024.718579
263,578.5,580.25,564,564.5,564.5,28790,2024.715847
262,580.25,588,576,578.5,578.5,20539,2024.713115
261,580.75,587,576.25,580,580,21767,2024.710383
260,598.75,600,577.25,580.5,580.5,33563,2024.70765
257,578.5,578.5,578.5,578.5,578.5,34288,2024.699454
256,578.5,578.5,578.5,578.5,578.5,5,2024.696721
255,570,580.75,570,580.75,580.75,5,2024.693989
254,579.75,579.75,579.75,579.75,579.75,1,2024.691257
253,578,578,574,574.75,574.75,71,2024.688525
250,589.75,589.75,562.5,569.75,569.75,71,2024.680328
