year 1,z rho 0.5,year 0.05,z rho 10
0,30,0,30
1,8.688325321,0.05,8.688325321
2,10.48629942,0.1,10.48629942
3,20.00867882,0.15,20.00867882
4,-7.502371242,0.2,-7.502371242
5,-2.965439946,0.25,-2.965439946
6,10.17363038,0.3,10.17363038
7,-8.189651874,0.35,-8.189651874
8,-23.77837167,0.4,-23.77837167
10,-11.23780542,0.5,-11.23780542
11,-6.088700069,0.55,-6.088700069
12,-4.637416663,0.6,-4.637416663
13,-13.6535184,0.65,-13.6535184
14,-8.247744259,0.7,-8.247744259
15,8.885941553,0.75,8.885941553
16,9.689130518,0.8,9.689130518
17,-8.923513088,0.85,-8.923513088
20,-4.840047743,1,-4.840047743
21,-8.705792592,1.05,-8.705792592
22,-14.2571253,1.1,-14.2571253
23,-10.26972976,1.15,-10.26972976
24,-1.803839793,1.2,-1.803839793
25,-32.24668188,1.25,-32.24668188
26,-16.9623767,1.3,-16.9623767
30,-30.03758794,1.5,-30.03758794
31,-13.6015492,1.55,-13.6015492
32,-11.2425519,1.6,-11.2425519
33,-18.3957259,1.65,-18.3957259
34,-33.85604667,1.7,-33.85604667
35,-20.58846325,1.75,-20.58846325
40,-9.479199651,2,-9.479199651
41,-33.87854397,2.05,-33.87854397
42,-13.40905579,2.1,-13.40905579
43,-40.81243903,2.15,-40.81243903
44,-33.2986919,2.2,-33.2986919
50,-20.08275527,2.5,-20.08275527
51,-17.97131823,2.55,-17.97131823
52,-23.17071918,2.6,-23.17071918
53,-13.20467472,2.65,-13.20467472
54,-47.44374858,2.7,-47.44374858
55,-39.57403055,2.75,-39.57403055
60,-47.58586538,3,-47.58586538
61,-34.71701726,3.05,-34.71701726
62,-51.06433019,3.1,-51.06433019
63,-36.66450016,3.15,-36.66450016
64,-24.92275437,3.2,-24.92275437
65,-12.42635625,3.25,-12.42635625
66,-15.53403306,3.3,-15.53403306
70,-18.67595373,3.5,-18.67595373
71,-21.80194818,3.55,-21.80194818
72,-25.21154816,3.6,-25.21154816
73,-3.797014176,3.65,-3.797014176
74,2.317021358,3.7,2.317021358
75,-17.68188746,3.75,-17.68188746
76,4.029078639,3.8,4.029078639
77,2.055943786,3.85,2.055943786
80,16.44306286,4,16.44306286
81,20.26326444,4.05,20.26326444
82,-4.663055184,4.1,-4.663055184
83,-22.13134676,4.15,-22.13134676
84,-39.23978693,4.2,-39.23978693
85,-19.38257208,4.25,-19.38257208
86,-27.19638771,4.3,-27.19638771
87,-13.34516104,4.35,-13.34516104
88,-9.196837481,4.4,-9.196837481
90,-12.93835535,4.5,-12.93835535
91,-5.55600934,4.55,-5.55600934
92,20.57890301,4.6,20.57890301
93,24.85566394,4.65,24.85566394
94,-20.03254352,4.7,-20.03254352
95,-24.50182869,4.75,-24.50182869
96,-27.23940262,4.8,-27.23940262
97,-23.27648568,4.85,-23.27648568
98,-7.702997385,4.9,-7.702997385
99,-5.607754358,4.95,-5.607754358
100,-18.49145909,5,-18.49145909
101,-29.78083402,5.05,-29.78083402
102,-29.44207953,5.1,-29.44207953
103,-21.61216484,5.15,-21.61216484
104,-11.05483315,5.2,-11.05483315
105,14.49590127,5.25,14.49590127
106,25.66288563,5.3,25.66288563
107,1.043699249,5.35,1.043699249
108,-21.24741482,5.4,-21.24741482
110,1.258596674,5.5,1.258596674
111,0.775415999,5.55,0.775415999
112,-14.82270429,5.6,-14.82270429
113,-27.13907112,5.65,-27.13907112
114,-16.03102864,5.7,-16.03102864
115,-7.263893685,5.75,-7.263893685
116,-18.07865232,5.8,-18.07865232
117,-31.80077331,5.85,-31.80077331
120,-18.91491216,6,-18.91491216
121,-14.65597137,6.05,-14.65597137
122,-27.82287674,6.1,-27.82287674
123,-28.06415811,6.15,-28.06415811
124,-30.61176767,6.2,-30.61176767
125,-33.12380578,6.25,-33.12380578
126,-11.4063198,6.3,-11.4063198
130,-20.66201699,6.5,-20.66201699
131,-7.469906017,6.55,-7.469906017
132,-16.30016572,6.6,-16.30016572
133,-19.72199751,6.65,-19.72199751
134,-3.624708778,6.7,-3.624708778
135,-3.307928577,6.75,-3.307928577
140,-27.71474565,7,-27.71474565
141,-30.67756157,7.05,-30.67756157
142,-27.19729774,7.1,-27.19729774
143,-27.69887088,7.15,-27.69887088
144,-33.57785344,7.2,-33.57785344
150,-24.12980319,7.5,-24.12980319
151,-17.94244009,7.55,-17.94244009
152,-31.76206474,7.6,-31.76206474
153,-28.02468737,7.65,-28.02468737
154,-20.25409804,7.7,-20.25409804
155,-21.41015583,7.75,-21.41015583
160,-16.21828338,8,-16.21828338
161,-13.26824242,8.05,-13.26824242
162,5.875779817,8.1,5.875779817
163,7.426150659,8.15,7.426150659
164,7.704780228,8.2,7.704780228
165,9.566277416,8.25,9.566277416
166,13.89192957,8.3,13.89192957
170,-19.67669203,8.5,-19.67669203
171,-5.102843018,8.55,-5.102843018
172,-6.723667003,8.6,-6.723667003
173,9.78533539,8.65,9.78533539
174,3.218589248,8.7,3.218589248
175,-7.472398251,8.75,-7.472398251
176,1.485753403,8.8,1.485753403
177,2.896857369,8.85,2.896857369
180,-38.33947055,9,-38.33947055
181,-27.41954034,9.05,-27.41954034
182,-8.837063506,9.1,-8.837063506
183,-18.79830337,9.15,-18.79830337
184,-24.86909512,9.2,-24.86909512
185,-11.16382014,9.25,-11.16382014
186,-19.58120947,9.3,-19.58120947
187,-15.29352325,9.35,-15.29352325
188,-30.35000357,9.4,-30.35000357
190,0.185521146,9.5,0.185521146
191,1.876120774,9.55,1.876120774
192,-24.24376794,9.6,-24.24376794
193,-29.55767709,9.65,-29.55767709
194,-31.86362692,9.7,-31.86362692
195,-16.77845677,9.75,-16.77845677
196,-31.97130462,9.8,-31.97130462
197,-11.68963789,9.85,-11.68963789
198,-12.19130524,9.9,-12.19130524
199,-18.22712161,9.95,-18.22712161
200,-16.1535084,10,-16.1535084
